strategy,correct,latency_ms,fact_type,distance,is_first,conversation_length
latest,True,0.0019073486328125,hobby,10,False,10
similarity,True,6.051778793334961,hobby,10,False,10
hybrid_r0.9_s0.1,True,0.3752708435058594,hobby,10,False,10
hybrid_r0.7_s0.3,True,0.33664703369140625,hobby,10,False,10
hybrid_r0.5_s0.5,True,0.3235340118408203,hobby,10,False,10
hybrid_r0.3_s0.7,True,0.3094673156738281,hobby,10,False,10
latest,True,0.0016689300537109375,pet,4,False,10
similarity,True,6.180286407470703,pet,4,False,10
hybrid_r0.9_s0.1,True,0.3707408905029297,pet,4,False,10
hybrid_r0.7_s0.3,True,0.40912628173828125,pet,4,False,10
hybrid_r0.5_s0.5,True,0.3647804260253906,pet,4,False,10
hybrid_r0.3_s0.7,True,0.3719329833984375,pet,4,False,10
latest,True,0.001430511474609375,city,10,False,10
similarity,True,6.212472915649414,city,10,False,10
hybrid_r0.9_s0.1,True,0.40912628173828125,city,10,False,10
hybrid_r0.7_s0.3,True,0.3631114959716797,city,10,False,10
hybrid_r0.5_s0.5,True,0.3581047058105469,city,10,False,10
hybrid_r0.3_s0.7,True,0.3447532653808594,city,10,False,10
latest,True,0.0011920928955078125,hobby,4,True,10
similarity,True,5.858421325683594,hobby,4,True,10
hybrid_r0.9_s0.1,True,0.31828880310058594,hobby,4,True,10
hybrid_r0.7_s0.3,True,0.3368854522705078,hobby,4,True,10
hybrid_r0.5_s0.5,True,0.3173351287841797,hobby,4,True,10
hybrid_r0.3_s0.7,True,0.2994537353515625,hobby,4,True,10
latest,True,0.0016689300537109375,pet,7,True,10
similarity,True,5.832910537719727,pet,7,True,10
hybrid_r0.9_s0.1,True,0.32258033752441406,pet,7,True,10
hybrid_r0.7_s0.3,True,0.33545494079589844,pet,7,True,10
hybrid_r0.5_s0.5,True,0.31447410583496094,pet,7,True,10
hybrid_r0.3_s0.7,True,0.2963542938232422,pet,7,True,10
latest,True,0.001430511474609375,city,7,True,10
similarity,True,6.595373153686523,city,7,True,10
hybrid_r0.9_s0.1,True,0.33402442932128906,city,7,True,10
hybrid_r0.7_s0.3,True,0.30303001403808594,city,7,True,10
hybrid_r0.5_s0.5,True,0.32067298889160156,city,7,True,10
hybrid_r0.3_s0.7,True,0.308990478515625,city,7,True,10
latest,True,0.0016689300537109375,city,1,False,10
similarity,True,0.4596710205078125,city,1,False,10
